GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0158896633	NS_MS	2.99
Soil_0124377794_COG0553	DSM_0159538824	NS_MS	23.35
Soil_0124377794_COG0553	DSM_0159596553	NS_MS	1.2
Soil_0124377794_COG0553	DSM_0167518420	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0170853014	NS_MS	13.77
Soil_0124377794_COG0553	DSM_0180755659	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0181789322	NS_MS	9.58
Soil_0124377794_COG0553	DSM_0185092039	NS_MS	16.77
Soil_0124377794_COG0553	DSM_0191291216	NS_MS	11.98
Soil_0124377794_COG0553	DSM_0191397224	NS_MS	28.74
Soil_0124377794_COG0553	DSM_0194599560	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0203046951	NS_MS	12.57
Soil_0124377794_COG0553	DSM_0212941316	NS_MS	6.59
Soil_0124377794_COG0553	DSM_0213999671	NS_MS	7.19
Soil_0124377794_COG0553	DSM_0221325773	NS_MS	0.6
Soil_0124377794_COG0553	DSM_0222567918	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0227290395	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0230967895	NS_MS	41.92
Soil_0124377794_COG0553	DSM_0231371248	NS_MS	15.57
Soil_0124377794_COG0553	DSM_0236052219	NS_MS	11.98
Soil_0124377794_COG0553	DSM_0236676673	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0241731828	NS_MS	4.79
Soil_0124377794_COG0553	DSM_0242648696	NS_MS	0.6
Soil_0124377794_COG0553	DSM_0244421225	NS_MS	16.77
Soil_0124377794_COG0553	DSM_0246078394	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0246340762	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0246737400	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0249354466	NS_MS	19.16
Soil_0124377794_COG0553	DSM_0249584578	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0252319516	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0252996299	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0253308679	NS_MS	11.38
Soil_0124377794_COG0553	DSM_0254949714	NS_MS	17.37
Soil_0124377794_COG0553	DSM_0260233713	NS_MS	2.99
Soil_0124377794_COG0553	DSM_0261559276	NS_MS	1.2
Soil_0124377794_COG0553	DSM_0268152979	NS_MS	11.38
Soil_0124377794_COG0553	DSM_0268545592	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0269495535	NS_MS	4.79
Soil_0124377794_COG0553	DSM_0280029462	NS_MS	9.58
Soil_0124377794_COG0553	DSM_0286600215	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0288078864	NS_MS	10.18
Soil_0124377794_COG0553	DSM_0290174550	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0290488648	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0290494485	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0295316535	NS_MS	0.6
Soil_0124377794_COG0553	DSM_0306491500	NS_MS	12.57
Soil_0124377794_COG0553	DSM_0309205793	NS_MS	13.17
Soil_0124377794_COG0553	DSM_0309848360	NS_MS	23.35
Soil_0124377794_COG0553	DSM_0312896980	NS_MS	4.19
Soil_0124377794_COG0553	DSM_0316776928	NS_MS	12.57
Soil_0124377794_COG0553	DSM_0317856005	NS_MS	11.98
Soil_0124377794_COG0553	DSM_0320623399	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0322665045	NS_MS	22.16
Soil_0124377794_COG0553	DSM_0325273509	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0326276952	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0327988471	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0330774272	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0333989487	NS_MS	12.57
Soil_0124377794_COG0553	DSM_0336907386	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0337103413	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0342419927	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0349798828	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0350603858	NS_MS	4.19
Soil_0124377794_COG0553	DSM_0352771174	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0359093756	NS_MS	8.38
Soil_0124377794_COG0553	DSM_0370332205	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0371222571	NS_MS	14.97
Soil_0124377794_COG0553	DSM_0380275001	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0387311060	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0392154635	NS_MS	1.2
Soil_0124377794_COG0553	DSM_0395525097	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0397075325	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0413280366	NS_MS	11.98
Soil_0124377794_COG0553	DSM_0413304721	NS_MS	8.38
Soil_0124377794_COG0553	DSM_0421347012	NS_MS	2.99
Soil_0124377794_COG0553	DSM_0427760277	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0432778694	NS_MS	10.18
Soil_0124377794_COG0553	DSM_0434958582	NS_MS	18.56
Soil_0124377794_COG0553	DSM_0436456769	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0456096681	NS_MS	10.18
Soil_0124377794_COG0553	DSM_0458493807	NS_MS	2.99
