"GeneCluster"	"NS"	"REG"	"FC"	"p"	"FDR"
"DSM_0377566113"	3.81106598984772	1.2	0.314872532566131	0.55	0.711745268849504
"DSM_0377838756"	2.05768292682927	2.006	0.974882949090263	0.735	0.842346368715084
"DSM_0377952421"	3.38938110749186	5.77476190476191	1.70378063770918	0.0199	0.0983133027522936
"DSM_0378055767"	7.02884057971014	8.8634	1.26100455679499	0.00186	0.0263581578947368
"DSM_0378356539"	10.202654028436	12.7727027027027	1.25190001220307	0.0529	0.17396427480916
"DSM_0378392521"	4.78776041666667	7.23923076923077	1.51202861864815	0.025	0.1121875
"DSM_0378455846"	5.682	9.341	1.64396339317142	0.195	0.375697674418605
"DSM_0378538549"	3.55266666666667	9.94	2.79789829236254	0.116	0.274425041186161
"DSM_0378551551"	13.3194488188976	14.476875	1.08689745325349	0.613	0.757328362489246
"DSM_0378622696"	4.15745341614907	8.055	1.93748412639127	0.359	0.549208806818182
"DSM_0379217651"	10.9434911242604	15.1883333333333	1.38788738994476	0.0994	0.249252153667055
"DSM_0379305172"	11.9114876033058	12.836	1.0776151919461	0.59	0.739732246798603
"DSM_0379524979"	4.00427586206897	10.905	2.72333884468327	0.00137	0.0220151470588235
"DSM_0379597824"	3.02325842696629	2.106	0.69659939792619	0.162	0.338949004371054
"DSM_0380365902"	10.6792391304348	15.4816666666667	1.44969753720988	0.953	0.977040456925274
"DSM_0380601308"	3.23341549295775	16.6875	5.16095133345675	0.0702	0.205449456521739
"DSM_0380971749"	4.35652173913043	13.368	3.06850299401198	0.315	0.507866766467066
"DSM_0381196304"	4.10487323943662	6.27931034482759	1.52972088991703	0.485	0.658072440944882
"DSM_0381350720"	2.98694444444444	16.625	5.56588858923091	0.0866	0.231147955390335
"DSM_0381517548"	11.200036101083	11.1376923076923	0.994433607818041	0.827	0.903554653816891
"DSM_0381826061"	6.916875	8.98666666666667	1.2992379747598	0.766	0.864761006289308
"DSM_0381865089"	4.8751968503937	10.678	2.19027053218122	0.0253	0.112945492227979
"DSM_0381901163"	4.51505494505494	6.95333333333333	1.54003293823675	0.805	0.889215384615385
"DSM_0382052246"	1.70629213483146	11.02	6.45844857105229	0.107	0.260574335782928
"DSM_0382082660"	8.92103448275862	4.834	0.541865409145375	0.188	0.367970922308042
"DSM_0382438051"	8.89518292682927	13.33	1.49856389797163	0.142	0.312269525267994
"DSM_0382558686"	11.0313953488372	19.96	1.80938125856435	0.0377	0.144751871657754
"DSM_0382601645"	15.235875	13.1483333333333	0.86298511462803	0.55	0.711745268849504
"DSM_0382814274"	3.7096875	4.95818181818182	1.33654972775519	0.205	0.38887714663144
"DSM_0382940594"	8.59621621621622	1.73	0.201251336225869	0.137	0.306118257261411
"DSM_0382951565"	3.89439215686274	5.59772727272727	1.43738150839866	0.883	0.935094395280236
"DSM_0382962111"	3.10946428571429	7.04647058823529	2.26613652409795	0.0393	0.14821615986099
"DSM_0383008865"	2.16959821428571	1.94333333333333	0.895711160037587	0.46	0.636991321118611
"DSM_0383265694"	6.78246527777778	11.2954347826087	1.66538777863225	0.000549	0.012995010989011
"DSM_0383357834"	7.50117391304348	11.6585714285714	1.55423291923666	0.16	0.336726917440156
"DSM_0383521910"	12.6852795031056	19.3922580645161	1.52872138605764	0.00302	0.0348797855227882
"DSM_0383723996"	19.2987533875339	17.282	0.895498255921721	0.524	0.689701191567369
"DSM_0383846057"	10.0480291970803	11.36	1.13056996324224	0.666	0.791047146401985
"DSM_0383958733"	7.0426282051282	16.6925	2.37020889273199	0.0127	0.0767343618513324
"DSM_0383998245"	2.89809885931559	10.3311111111111	3.56478906090557	0.139	0.308030864197531
"DSM_0384151839"	10.3409271523179	14.99125	1.44970076465917	0.0657	0.1965525
"DSM_0384227869"	8.68591760299626	15.9927272727273	1.84122484275127	0.005	0.0467937931034483
"DSM_0384307577"	3.72724770642202	7.49	2.00952568488936	0.00181	0.0259916
"DSM_0384604517"	4.07253125	7.5125	1.84467583889012	0.189	0.368755434782609
"DSM_0384673361"	6.37724637681159	9.46833333333333	1.48470558825535	0.0242	0.109972151898734
"DSM_0384744522"	8.87194444444444	9.70894117647059	1.09434197173656	0.155	0.330400791687284
"DSM_0384952032"	3.64048951048951	4.74	1.30202270500778	0.269	0.458588049070044
"DSM_0385093220"	3.37151408450704	3.12266666666667	0.926191197306904	0.391	0.578046671242279
"DSM_0385147771"	3.37337931034483	6.71259259259259	1.98987186884312	0.016	0.0867018867924528
"DSM_0385328632"	3.97335526315789	3.805	0.957628942793278	0.141	0.31118237704918
"DSM_0385437602"	2.53509661835749	5.12714285714286	2.02246447729664	0.108	0.262120563380282
"DSM_0385525643"	5.09203296703297	7.84540540540541	1.54072164422313	0.0535	0.174869499241275
"DSM_0385541247"	4.96531073446328	8.62470588235294	1.73699217301558	0.672	0.794886326194399
"DSM_0385610130"	3.82177083333333	13.6733333333333	3.57774809888522	0.554	0.714560479041916
"DSM_0385693753"	13.3786538461538	19.41	1.45081861173799	0.154	0.329246650124069
"DSM_0385880529"	4.45551515151515	14.2571428571429	3.19988651644346	0.000514	0.0125813181818182
"DSM_0386046735"	2.41504132231405	5.4725	2.26600677571693	0.0487	0.166243740095087
"DSM_0386060440"	3.09028571428571	9.32333333333333	3.01698101577909	0.584	0.734775700934579
"DSM_0386139005"	5.11686274509804	7.46515151515151	1.45893135834123	0.557	0.716285373134328
"DSM_0386505007"	4.155	2.22666666666667	0.535900521460088	0.453	0.632584764991896
"DSM_0386536868"	4.73833333333333	3.6375	0.767674991206472	0.792	0.881409454921209
"DSM_0386604934"	3.2220325203252	7.49714285714286	2.32683649524002	0.0086	0.0625824324324324
"DSM_0386751835"	9.82300546448087	14.5666666666667	1.48291342393511	0.0341	0.13564432132964
"DSM_0387003006"	10.5112820512821	13.2157142857143	1.25728852305912	0.743	0.848580063626723
"DSM_0387013392"	6.68712446351931	14.9333333333333	2.2331472092078	0.000123	0.00506588888888889
"DSM_0387230199"	4.27658536585366	7.428	1.73689973765256	0.348	0.540246486486486
"DSM_0387336828"	6.39806962025316	3.90222222222222	0.609906183244661	0.237	0.424883895131086
"DSM_0387470619"	6.11470588235294	4.61333333333333	0.754465287798621	0.824	0.901648971297942
"DSM_0387480749"	13.9480487804878	43.769	3.13800164373022	3.2e-05	0.002154
"DSM_0387499559"	4.85650485436893	2.735	0.563162208628204	0.407	0.592149949341439
"DSM_0387689624"	2.06086206896552	4.38133333333333	2.12597116484007	0.293	0.482693690248566
"DSM_0388296809"	3.33716814159292	13.495	4.04384778573323	0.743	0.848580063626723
"DSM_0388412340"	5.23510204081633	11.3075	2.15993879619523	0.0186	0.0943802120141343
"DSM_0388453874"	4.98472361809045	5.37928571428571	1.07915425737213	0.38	0.567628294036061
"DSM_0388557581"	3.60378378378378	3.5	0.971201439928004	0.892	0.940003913894325
"DSM_0388600839"	6.03775510204082	13.2289552238806	2.1910387222246	5.15e-10	1.10931e-06
"DSM_0388701021"	2.81224137931034	4.0475	1.43924345533689	0.141	0.31118237704918
"DSM_0388978885"	2.3073046875	2.47785714285714	1.07391847998278	0.603	0.749055363321799
"DSM_0389566488"	2.74061452513966	3.64666666666667	1.33060181693404	0.943	0.973040479041916
"DSM_0389647459"	5.35978723404255	31.9266666666667	5.95670411390311	0.00893	0.0636927814569536
"DSM_0389653824"	9.60472413793103	11.0478260869565	1.15024918241289	0.636	0.770497187851519
"DSM_0389784674"	2.85396825396825	9.395	3.29190767519466	0.188	0.367970922308042
"DSM_0389839814"	5.89390804597701	11.0028571428571	1.86681859591741	0.00584	0.0500890476190476
"DSM_0390741182"	8.52075675675676	13.8921052631579	1.63038397406918	0.0136	0.079174054054054
"DSM_0390990870"	3.55352941176471	2.18866666666667	0.61591348010815	0.67	0.794046767537827
"DSM_0391005224"	9.76116161616162	14.3813333333333	1.47332191585908	0.0621	0.189869978708304
"DSM_0391126703"	12.6719537275064	16.4040540540541	1.29451656838413	0.0276	0.118782017982018
"DSM_0391194822"	3.74035714285714	19.2866666666667	5.15637034915179	0.0415	0.152025510204082
"DSM_0391502996"	2.69621621621622	3.47875	1.2902340617482	0.743	0.848580063626723
"DSM_0391513171"	10.3448	14.2727777777778	1.3797055310666	0.0634	0.192343098591549
"DSM_0391583332"	5.53537790697674	8.67714285714286	1.56757912521316	0.401	0.587587755102041
"DSM_0392244708"	2.97078651685393	2.69909090909091	0.908544216751479	0.787	0.878113442113442
"DSM_0392560783"	6.9050505050505	9.67923076923077	1.40176103884413	0.217	0.402253012048193
"DSM_0392681885"	2.10634146341463	1.9525	0.926962714219546	0.209	0.392832460732984
"DSM_0392947580"	5.55037313432836	9.1975	1.65709579831933	0.121	0.280855603448276
"DSM_0392952552"	3.63851485148515	6.42	1.76445617567825	0.0175	0.0903956834532374
"DSM_0392966674"	14.2463879598662	17.4907142857143	1.22772974700589	0.299	0.48865402124431
"DSM_0393134398"	4.37738317757009	9.35754385964912	2.13770270503108	0.00141	0.0222501098901099
"DSM_0393849011"	6.7723125	22.6744444444444	3.34810959246852	0.000379	0.010204575
"DSM_0393857302"	6.24790884718499	5.861	0.938073864928534	0.826	0.90314923857868
"DSM_0394098116"	9.42491452991453	11.1125	1.17905578503965	0.318	0.5109824692279
"DSM_0394339398"	1.35806451612903	2.0175	1.48557007125891	0.527	0.692169512195122
"DSM_0394499865"	4.88390092879257	3.85166666666667	0.788645536185948	0.755	0.856382306477093
"DSM_0394609837"	7.24524861878453	17.01	2.34774552192712	0.0558	0.178328189910979
"DSM_0394823496"	7.16747404844291	12.19	1.70073863087767	0.419	0.602286286286286
"DSM_0395016226"	3.18503649635037	4.578	1.43734616706772	0.0544	0.176605275056518
"DSM_0395128941"	3.16643382352941	7.684375	2.42682317972297	0.0143	0.0807397116644823
"DSM_0395299248"	2.83854166666667	5.05875	1.78216513761468	0.38	0.567628294036061
"DSM_0395489809"	8.70384615384615	11.6895238095238	1.34302969088652	0.285	0.475699341340566
"DSM_0395572460"	7.97825436408978	14.9610606060606	1.8752298339096	5.9e-06	0.000706033333333333
"DSM_0395948926"	3.12372549019608	3.63	1.162073943883	0.405	0.59043654822335
"DSM_0395969947"	2.97507537688442	5.21617647058823	1.75329220601152	0.00261	0.03231
"DSM_0396057900"	1.85548192771084	1.84636363636364	0.995085755775344	0.616	0.757991431019709
